Año,Kilogramos,Grano,País
2000,5.44,Arroz,México
2001,5.18,Arroz,México
2002,5.06,Arroz,México
2003,5.51,Arroz,México
2004,5.13,Arroz,México
2005,5.38,Arroz,México
2006,5.99,Arroz,México
2007,5.82,Arroz,México
2008,5.25,Arroz,México
2009,5.55,Arroz,México
2010,5.32,Arroz,México
2011,5.74,Arroz,México
2012,5.23,Arroz,México
2013,5.64,Arroz,México
2014,5.92,Arroz,México
2015,5.55,Arroz,México
2016,6.08,Arroz,México
2017,5.87,Arroz,México
2018,5.93,Arroz,México
2019,5.96,Arroz,México
2000,10.4,Frijol,México
2001,9.88,Frijol,México
2002,10.5,Frijol,México
2003,10.87,Frijol,México
2004,10.71,Frijol,México
2005,9.92,Frijol,México
2006,10.16,Frijol,México
2007,10.09,Frijol,México
2008,9.85,Frijol,México
2009,9.76,Frijol,México
2010,10.35,Frijol,México
2011,7.48,Frijol,México
2012,9.76,Frijol,México
2013,10.38,Frijol,México
2014,10.43,Frijol,México
2015,8.15,Frijol,México
2016,9.62,Frijol,México
2017,9.82,Frijol,México
2018,10.32,Frijol,México
2019,10.81,Frijol,México
2000,122.76,Maíz,México
2001,123.5,Maíz,México
2002,121.87,Maíz,México
2003,120.17,Maíz,México
2004,119.26,Maíz,México
2005,115.76,Maíz,México
2006,117.2,Maíz,México
2007,116.4,Maíz,México
2008,119.25,Maíz,México
2009,115.94,Maíz,México
2010,116.42,Maíz,México
2011,115.83,Maíz,México
2012,116.56,Maíz,México
2013,116.34,Maíz,México
2014,133.23,Maíz,México
2015,142.74,Maíz,México
2016,158.97,Maíz,México
2017,160.05,Maíz,México
2018,153.85,Maíz,México
2019,123.32,Maíz,México
